centroid,label,EM,dataset
0.812725860106143,g,LIME,ionoshpere
0.8143266787048001,g,LIME,ionoshpere
0.8232538941904816,g,LIME,ionoshpere
0.7217514508967777,g,LIME,ionoshpere
0.6605048021122628,g,LIME,ionoshpere
0.7118844746539202,g,LIME,ionoshpere
0.7614814500803683,g,LIME,ionoshpere
0.8004861668628648,g,LIME,ionoshpere
0.7578677448756191,g,LIME,ionoshpere
0.8475145406568511,g,LIME,ionoshpere
0.7735042171519917,g,LIME,ionoshpere
0.7055586229542091,g,LIME,ionoshpere
0.7642818588231147,g,LIME,ionoshpere
0.7739366524460523,g,LIME,ionoshpere
0.8256394162734125,g,LIME,ionoshpere
0.8131250308367489,g,LIME,ionoshpere
0.7975508824284446,g,LIME,ionoshpere
0.7389769704777324,g,LIME,ionoshpere
0.7629231646867994,g,LIME,ionoshpere
0.7729330000104313,g,LIME,ionoshpere
0.8029267213073937,g,LIME,ionoshpere
0.7385696972792474,g,LIME,ionoshpere
0.7196180586621364,g,LIME,ionoshpere
0.8313192964137883,g,LIME,ionoshpere
0.6983676744473509,g,LIME,ionoshpere
0.7731082057409429,g,LIME,ionoshpere
0.7743910648276618,g,LIME,ionoshpere
0.7148479744128824,g,LIME,ionoshpere
0.7822669898043065,g,LIME,ionoshpere
0.7950640150813673,g,LIME,ionoshpere
0.7646861268564779,g,LIME,ionoshpere
0.7722386303582913,g,LIME,ionoshpere
0.8280477313610222,g,LIME,ionoshpere
0.7126727192176956,g,LIME,ionoshpere
0.7261409549490488,g,LIME,ionoshpere
0.8129567964987562,g,LIME,ionoshpere
0.740699467581536,g,LIME,ionoshpere
0.7440739185540736,g,LIME,ionoshpere
0.7538448492535593,g,LIME,ionoshpere
0.7444093002861475,g,LIME,ionoshpere
0.7017474504365879,g,LIME,ionoshpere
0.7380029318575685,g,LIME,ionoshpere
0.7581224456944392,g,LIME,ionoshpere
0.7445691730741743,g,LIME,ionoshpere
0.7266028833837834,g,LIME,ionoshpere
0.798524051596837,g,LIME,ionoshpere
0.7607569260765503,g,LIME,ionoshpere
0.8305790666132719,g,LIME,ionoshpere
0.7472624643591074,g,LIME,ionoshpere
0.847650310027298,g,LIME,ionoshpere
0.8265016533410711,g,LIME,ionoshpere
0.842244148207722,g,LIME,ionoshpere
0.7310016531286915,g,LIME,ionoshpere
0.7526157151987655,g,LIME,ionoshpere
0.6896783727865278,g,LIME,ionoshpere
0.8168559185751488,g,LIME,ionoshpere
0.8133249260614877,g,LIME,ionoshpere
0.8025949388036409,g,LIME,ionoshpere
0.7460900140726058,g,LIME,ionoshpere
0.7866663889002126,g,LIME,ionoshpere
0.7641992513718616,g,LIME,ionoshpere
0.7563905147273744,g,LIME,ionoshpere
0.827540963744391,g,LIME,ionoshpere
0.7212239494978615,g,LIME,ionoshpere
0.7441376404510902,g,LIME,ionoshpere
0.8131834024943335,g,LIME,ionoshpere
0.8273635769192007,g,LIME,ionoshpere
0.7020792511245508,g,LIME,ionoshpere
0.769955358497137,g,LIME,ionoshpere
0.7264801164763102,g,LIME,ionoshpere
0.7173173655760112,g,LIME,ionoshpere
0.8564079565217309,b,LIME,ionoshpere
0.7954212068755461,b,LIME,ionoshpere
0.8283224537759386,b,LIME,ionoshpere
0.7537572245495131,b,LIME,ionoshpere
0.6782452949419787,b,LIME,ionoshpere
0.7510138916761531,b,LIME,ionoshpere
0.7234411915133772,b,LIME,ionoshpere
0.8370006209256303,b,LIME,ionoshpere
0.718297722647829,b,LIME,ionoshpere
0.8702855454040167,b,LIME,ionoshpere
0.8335537771352565,b,LIME,ionoshpere
0.7658553663896585,b,LIME,ionoshpere
0.719875562829388,b,LIME,ionoshpere
0.8276974137144231,b,LIME,ionoshpere
0.8423392128639803,b,LIME,ionoshpere
0.864585662406002,b,LIME,ionoshpere
0.7603230973461421,b,LIME,ionoshpere
0.7751530508098098,b,LIME,ionoshpere
0.7643889855538095,b,LIME,ionoshpere
0.8323171813246966,b,LIME,ionoshpere
0.8499767795940877,b,LIME,ionoshpere
0.704461522430053,b,LIME,ionoshpere
0.6841466250711179,b,LIME,ionoshpere
0.8635479372807223,b,LIME,ionoshpere
0.6792851888474308,b,LIME,ionoshpere
0.7999936925183186,b,LIME,ionoshpere
0.7744151909662247,b,LIME,ionoshpere
0.678911011322327,b,LIME,ionoshpere
0.7311798277185364,b,LIME,ionoshpere
0.8484992774681719,b,LIME,ionoshpere
0.8305748476757502,b,LIME,ionoshpere
0.8247066964010517,b,LIME,ionoshpere
0.8640128423204458,b,LIME,ionoshpere
0.7391400906052128,b,LIME,ionoshpere
0.7000730188841363,b,LIME,ionoshpere
0.8315591520049231,b,LIME,ionoshpere
