centroid,label,EM,dataset
0.8632857987019726,setosa,LIME,iris
0.7001216747433502,setosa,LIME,iris
0.8479640136680278,setosa,LIME,iris
0.7479061785253935,setosa,LIME,iris
0.7561814101479579,setosa,LIME,iris
0.786611730772031,setosa,LIME,iris
0.8671147183259936,setosa,LIME,iris
0.7907648843120569,setosa,LIME,iris
0.834829110684403,setosa,LIME,iris
0.7904281433214384,setosa,LIME,iris
0.7987072926898601,setosa,LIME,iris
0.8267100140535548,setosa,LIME,iris
0.8736317178956392,setosa,LIME,iris
0.8540095415868452,setosa,LIME,iris
0.85047989462531,setosa,LIME,iris
0.7512023665086185,setosa,LIME,iris
0.7088081135660456,setosa,LIME,iris
0.732552632808649,setosa,LIME,iris
0.8442359186325967,setosa,LIME,iris
0.8324088555345007,setosa,LIME,iris
0.8757704234581893,setosa,LIME,iris
0.7518910341358715,setosa,LIME,iris
0.8798855932558232,setosa,LIME,iris
0.8791864374440467,setosa,LIME,iris
0.6215312316587638,setosa,LIME,iris
0.7093799540082667,setosa,LIME,iris
0.6770091452600349,setosa,LIME,iris
0.7197390318353403,setosa,LIME,iris
0.8137596024465499,setosa,LIME,iris
0.7613522877968382,setosa,LIME,iris
0.9333326221498757,versicolor,LIME,iris
0.7271784237388604,versicolor,LIME,iris
0.9174615648259253,versicolor,LIME,iris
0.8064675592879335,versicolor,LIME,iris
0.7896367796797552,versicolor,LIME,iris
0.8236468515133447,versicolor,LIME,iris
0.9367584465269311,versicolor,LIME,iris
0.8582818710020647,versicolor,LIME,iris
0.9034092150718241,versicolor,LIME,iris
0.8552452835118755,versicolor,LIME,iris
0.8657514792877793,versicolor,LIME,iris
0.8965739759094834,versicolor,LIME,iris
0.940212146032402,versicolor,LIME,iris
0.9220002399433045,versicolor,LIME,iris
0.9186129025749583,versicolor,LIME,iris
0.8176500967867657,versicolor,LIME,iris
0.7459893556810693,versicolor,LIME,iris
0.78693110085286,versicolor,LIME,iris
0.916073556787424,versicolor,LIME,iris
0.8998430681725198,versicolor,LIME,iris
0.9347247384104601,versicolor,LIME,iris
0.8271475412535048,versicolor,LIME,iris
0.9384134426123705,versicolor,LIME,iris
0.9410444004949574,versicolor,LIME,iris
0.6605993369011979,versicolor,LIME,iris
0.7366122018151366,versicolor,LIME,iris
0.7114976640643822,versicolor,LIME,iris
0.7528571638085134,versicolor,LIME,iris
0.8864344076807732,versicolor,LIME,iris
0.8335618041582422,versicolor,LIME,iris
0.8708875888228246,virginica,LIME,iris
0.5940858924379885,virginica,LIME,iris
0.893879236014182,virginica,LIME,iris
0.8437249652095055,virginica,LIME,iris
0.717748194147472,virginica,LIME,iris
0.744590337598447,virginica,LIME,iris
0.8794800222361872,virginica,LIME,iris
0.8743415272480327,virginica,LIME,iris
0.8934350513385135,virginica,LIME,iris
0.8671488158481939,virginica,LIME,iris
0.8784535725216304,virginica,LIME,iris
0.8208651610503412,virginica,LIME,iris
0.8915612797858413,virginica,LIME,iris
0.8985283884677294,virginica,LIME,iris
0.8979894463390471,virginica,LIME,iris
0.7018996899449704,virginica,LIME,iris
0.7469098508860197,virginica,LIME,iris
0.6631458210042441,virginica,LIME,iris
0.8866465773040411,virginica,LIME,iris
0.8934476611534192,virginica,LIME,iris
0.8387792219256263,virginica,LIME,iris
0.7693163591150515,virginica,LIME,iris
0.8631079876596424,virginica,LIME,iris
0.8912368230544198,virginica,LIME,iris
0.616230584125666,virginica,LIME,iris
0.6445627328922925,virginica,LIME,iris
0.748966963091268,virginica,LIME,iris
0.5975710634488065,virginica,LIME,iris
0.8769956637410787,virginica,LIME,iris
0.8317188697401675,virginica,LIME,iris
0.9864471688317045,setosa,SHAP,iris
0.9860658095545125,setosa,SHAP,iris
0.9479192570301018,setosa,SHAP,iris
-0.6643966344186772,setosa,SHAP,iris
-0.21716792240391944,setosa,SHAP,iris
0.9855931585489452,setosa,SHAP,iris
0.9864471688317045,setosa,SHAP,iris
0.9628837635164968,setosa,SHAP,iris
0.9690769599309583,setosa,SHAP,iris
0.9679361108189293,setosa,SHAP,iris
0.9414768001557752,setosa,SHAP,iris
0.9751967776262596,setosa,SHAP,iris
-0.2340083002740662,setosa,SHAP,iris
0.9690769599309583,setosa,SHAP,iris
0.9553035701230655,setosa,SHAP,iris
0.8880114954222483,setosa,SHAP,iris
-0.7638116010512941,setosa,SHAP,iris
0.879675898112875,setosa,SHAP,iris
0.9840131806021948,setosa,SHAP,iris
0.9700414387797587,setosa,SHAP,iris
0.9747297485702875,setosa,SHAP,iris
0.9692252383179516,setosa,SHAP,iris
0.9659230403831393,setosa,SHAP,iris
