centroid,species,EM,dataset
0.9299707458302322,setosa,LIME,iris
0.8698223114858014,setosa,LIME,iris
0.6759097518891447,setosa,LIME,iris
0.8139820964232379,setosa,LIME,iris
0.7879922777090848,setosa,LIME,iris
0.8805194147716193,setosa,LIME,iris
0.9234693830489272,setosa,LIME,iris
0.6607391920200625,setosa,LIME,iris
0.6833965729766291,setosa,LIME,iris
0.6121887030115489,setosa,LIME,iris
0.6784895811487616,setosa,LIME,iris
0.9283370774928787,setosa,LIME,iris
0.8190105059011532,setosa,LIME,iris
0.6852769051098485,setosa,LIME,iris
0.6724478723054614,setosa,LIME,iris
0.9319624732946306,setosa,LIME,iris
0.7949311748736151,setosa,LIME,iris
0.6965014825942918,setosa,LIME,iris
0.889954387980896,setosa,LIME,iris
0.6718332381641241,setosa,LIME,iris
0.891880914627343,setosa,LIME,iris
0.8590136524833725,setosa,LIME,iris
0.8686851246419334,setosa,LIME,iris
0.7934064001820914,setosa,LIME,iris
0.7121147861622747,setosa,LIME,iris
0.8756486116734127,setosa,LIME,iris
0.8656833957538115,setosa,LIME,iris
0.7986475764233432,setosa,LIME,iris
0.8906738291384156,setosa,LIME,iris
0.7827097733142921,setosa,LIME,iris
0.7208007581692519,versicolor,LIME,iris
0.8229890237904675,versicolor,LIME,iris
0.5245524352586352,versicolor,LIME,iris
0.7556707913243541,versicolor,LIME,iris
0.7928516184993479,versicolor,LIME,iris
0.8219896490658547,versicolor,LIME,iris
0.7072924103425893,versicolor,LIME,iris
0.5209913799843304,versicolor,LIME,iris
0.5430792859645497,versicolor,LIME,iris
0.6111054477797555,versicolor,LIME,iris
0.5312054538242725,versicolor,LIME,iris
0.718958807649734,versicolor,LIME,iris
0.7678818945030674,versicolor,LIME,iris
0.5465589021083058,versicolor,LIME,iris
0.5349194485266058,versicolor,LIME,iris
0.7275856879097835,versicolor,LIME,iris
0.754279321452328,versicolor,LIME,iris
0.641787991937715,versicolor,LIME,iris
0.6798125453236691,versicolor,LIME,iris
0.5284073503379145,versicolor,LIME,iris
0.8499343805065351,versicolor,LIME,iris
0.7288044937636737,versicolor,LIME,iris
0.7797973968490652,versicolor,LIME,iris
0.8263208033572017,versicolor,LIME,iris
0.7224886670702608,versicolor,LIME,iris
0.8280904200050205,versicolor,LIME,iris
0.8599717299721016,versicolor,LIME,iris
0.7515707862581646,versicolor,LIME,iris
0.6764485240202475,versicolor,LIME,iris
0.6882435667400902,versicolor,LIME,iris
0.7344680422737733,virginica,LIME,iris
0.7352294649076336,virginica,LIME,iris
0.9471623927072388,virginica,LIME,iris
0.9458707506090416,virginica,LIME,iris
0.4785829912453598,virginica,LIME,iris
0.7038124399669127,virginica,LIME,iris
0.7425566020675516,virginica,LIME,iris
0.9497505019661638,virginica,LIME,iris
0.9540899192937558,virginica,LIME,iris
0.3747255389162394,virginica,LIME,iris
0.9483970269691542,virginica,LIME,iris
0.7313639048362333,virginica,LIME,iris
0.94133345652369,virginica,LIME,iris
0.9544818153652268,virginica,LIME,iris
0.9533679436917472,virginica,LIME,iris
0.7703356072639291,virginica,LIME,iris
0.9435367069309404,virginica,LIME,iris
0.7565168763673397,virginica,LIME,iris
0.7346457020503045,virginica,LIME,iris
0.9505933483069132,virginica,LIME,iris
0.8199259260077433,virginica,LIME,iris
0.9460217033234352,virginica,LIME,iris
0.8787190760267831,virginica,LIME,iris
0.7483393021478009,virginica,LIME,iris
0.9083781505413658,virginica,LIME,iris
0.7472338828698861,virginica,LIME,iris
0.7409917242780367,virginica,LIME,iris
0.9418627657813118,virginica,LIME,iris
0.7225788289109681,virginica,LIME,iris
0.9699833340998216,virginica,LIME,iris
0.9806591913662654,setosa,SHAP,iris
0.9803554212527033,setosa,SHAP,iris
-0.34845929946333104,setosa,SHAP,iris
-0.7059859966350048,setosa,SHAP,iris
0.03522609076423672,setosa,SHAP,iris
0.9791447757341484,setosa,SHAP,iris
0.9802801881102572,setosa,SHAP,iris
-0.484357740966875,setosa,SHAP,iris
-0.5089984082041331,setosa,SHAP,iris
0.1272489807262187,setosa,SHAP,iris
0.023461868736763463,setosa,SHAP,iris
0.9792334001973302,setosa,SHAP,iris
-0.4865246705881344,setosa,SHAP,iris
-0.3772236490238632,setosa,SHAP,iris
-0.10972674260368706,setosa,SHAP,iris
0.8461915177895957,setosa,SHAP,iris
-0.7314499378634954,setosa,SHAP,iris
-0.1305291900213967,setosa,SHAP,iris
0.9728575611942754,setosa,SHAP,iris
-0.5298600762040995,setosa,SHAP,iris
-0.3694680564799761,setosa,SHAP,iris
-0.3583018789450157,setosa,SHAP,iris
-0.16489856457471214,setosa,SHAP,iris
